		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   53   54   64   67   66   63   73   55  7.670123 0.466338 SUCCESS  76
100101000   59   68   50   61   65   61   60   63  4.028542 0.854539 SUCCESS  77
100110000   60   70   55   59   71   67   52   55  7.347975 0.499596 SUCCESS  78
100111000   54   52   55   63   65   51   59   67  4.712197 0.787847 SUCCESS  79
101000000   64   64   50   61   56   49   50   71  8.204656 0.413739 SUCCESS  80
101000100   66   57   59   56   54   71   57   56  4.323009 0.826868 SUCCESS  81
101001000   50   57   58   66   55   61   58   50  4.057116 0.851934 SUCCESS  82
101001100   59   54   48   59   55   53   55   57  3.621014 0.889598 SUCCESS  83
101010000   62   48   62   56   67   44   58   65  8.272176 0.407345 SUCCESS  84
101010100   52   52   54   60   63   68   56   64  4.468834 0.812543 SUCCESS  85
101011000   55   59   71   52   46   62   63   65  7.731531 0.460125 SUCCESS  86
101011100   56   49   54   53   63   58   67   56  4.468353 0.812591 SUCCESS  87
101100000   47   47   79   64   55   54   62   46 16.271346 0.038657 SUCCESS  88
101100100   57   66   55   52   61   60   69   58  3.984925 0.858481 SUCCESS  89
101101000   57   65   61   59   58   58   61   68  2.410794 0.965761 SUCCESS  90
101101100   64   72   63   73   60   60   52   54  8.657655 0.371993 SUCCESS  91
101110000   60   54   63   57   62   53   71   59  4.185151 0.840044 SUCCESS  92
101110100   54   43   65   55   51   62   50   79 15.514057 0.049888 SUCCESS  93
101111000   45   54   69   62   58   45   58   59  9.140122 0.330614 SUCCESS  94
101111100   68   52   56   64   55   66   52   66  5.802899 0.669299 SUCCESS  95
110000000   63   68   73   59   68   61   66   35 17.785031 0.022897 SUCCESS  96
110000010   51   62   68   59   55   53   52   58  4.411617 0.818209 SUCCESS  97
110000100   64   55   67   51   65   51   71   61  7.426280 0.491414 SUCCESS  98
110001000   60   59   57   52   67   48   60   70  6.359962 0.606979 SUCCESS  99
110001010   59   67   58   51   54   69   58   47  6.960160 0.540937 SUCCESS 100
110010000   58   70   56   72   54   63   62   54  6.714943 0.567677 SUCCESS 101
110010010   54   64   58   66   68   40   66   60 10.442316 0.235342 SUCCESS 102
110010100   53   65   53   68   61   69   57   63  5.624722 0.689186 SUCCESS 103
110011000   59   73   55   60   64   69   69   55  8.206098 0.413601 SUCCESS 104
110011010   68   57   64   61   53   67   71   67  7.670604 0.466290 SUCCESS 105
110100000   60   60   53   70   57   51   60   70  6.203352 0.624465 SUCCESS 106
110100010   61   64   61   52   64   63   59   61  2.326857 0.969317 SUCCESS 107
110100100   56   61   55   62   58   66   58   56  1.728513 0.988234 SUCCESS 108
110101000   49   49   61   51   53   50   69   57  8.379536 0.397301 SUCCESS 109
110101010   47   50   56   56   53   65   60   57  5.441805 0.709479 SUCCESS 110
110101100   61   61   49   66   61   62   67   62  4.393827 0.819959 SUCCESS 111
110110000   51   42   62   49   63   49   54   48 12.369024 0.135483 SUCCESS 112
110110010   70   73   66   59   67   57   56   65  8.706905 0.367621 SUCCESS 113
110110100   71   75   55   55   59   60   60   72 10.846547 0.210547 SUCCESS 114
110111000   56   59   59   66   62   59   73   53  5.364942 0.717953 SUCCESS 115
110111010   58   44   54   51   53   62   51   66  8.098189 0.423938 SUCCESS 116
110111100   57   59   56   60   50   54   63   57  2.358247 0.968014 SUCCESS 117
111000000   58   66   61   60   60   55   45   65  5.337261 0.720996 SUCCESS 118
111000010   67   57   62   65   59   48   60   56  4.309409 0.828184 SUCCESS 119
111000100   58   48   60   54   61   57   60   74  6.722430 0.566855 SUCCESS 120
111000110   55   52   51   57   62   62   61   47  5.092936 0.747598 SUCCESS 121
111001000   57   74   55   71   56   55   60   63  7.713259 0.461969 SUCCESS 122
111001010   49   64   64   46   57   61   44   55  9.775490 0.281139 SUCCESS 123
111001100   77   60   57   50   59   62   66   58  8.367859 0.398386 SUCCESS 124
111010000   62   57   50   62   59   67   58   65  3.646841 0.887499 SUCCESS 125
111010010   60   53   62   56   61   64   58   50  2.869838 0.942258 SUCCESS 126
111010100   57   47   61   55   60   53   62   50  5.008999 0.756614 SUCCESS 127
111010110   68   63   53   70   61   60   57   51  5.830100 0.666257 SUCCESS 128
111011000   59   56   64   49   60   62   51   53  4.173406 0.841149 SUCCESS 129
111011010   59   68   52   49   52   57   54   67  6.451386 0.596805 SUCCESS 130
111011100   59   61   58   73   64   60   67   61  5.403408 0.713716 SUCCESS 131
111100000   58   74   71   57   51   48   46   59 12.752168 0.120666 SUCCESS 132
111100010   58   55   61   62   69   57   65   63  3.398326 0.906936 SUCCESS 133
111100100   57   63   62   71   64   56   65   69  6.274651 0.616497 SUCCESS 134
111100110   78   70   59   59   62   71   73   60 15.043336 0.058308 SUCCESS 135
111101000   62   61   49   60   64   62   45   62  6.164887 0.628768 SUCCESS 136
111101010   58   39   60   61   62   67   60   53  8.997113 0.342540 SUCCESS 137
111101100   58   67   67   46   74   65   51   63 11.370776 0.181562 SUCCESS 138
111101110   64   61   62   71   57   57   69   60  5.319471 0.722948 SUCCESS 139
111110000   46   56   66   64   58   53   40   58 11.241780 0.188372 SUCCESS 140
111110010   63   55   62   62   64   66   57   74  6.423292 0.599928 SUCCESS 141
111110100   67   59   56   64   65   61   56   55  2.946288 0.937683 SUCCESS 142
111110110   63   63   63   55   64   57   46   65  5.272556 0.728087 SUCCESS 143
111111000   64   56   67   70   59   57   52   57  4.926505 0.765402 SUCCESS 144
111111010   67   57   56   59   51   57   56   56  2.783085 0.947224 SUCCESS 145
111111100   63   58   60   68   52   73   47   60  8.665143 0.371327 SUCCESS 146
111111110   73   56   53   59   54   63   58   68  6.487516 0.592793 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   59   67   59   62   67   62   59   51  3.793147 0.875288 SUCCESS   0
000000011   62   58   48   60   58   72   55   41 11.171924 0.192147 SUCCESS   1
000000101   71   55   68   54   60   70   66   70 10.102858 0.257881 SUCCESS   2
000000111   61   68   58   61   55   68   60   59  3.433495 0.904289 SUCCESS   3
000001001   45   72   54   49   68   56   61   64 10.693647 0.219669 SUCCESS   4
000001011   68   63   64   68   42   61   69   74 14.693506 0.065386 SUCCESS   5
000001101   57   53   52   61   57   61   52   56  2.644746 0.954639 SUCCESS   6
000001111   65   71   40   60   47   61   68   61 13.639827 0.091650 SUCCESS   7
000010001   61   54   60   60   55   60   55   75  5.686610 0.682289 SUCCESS   8
000010011   47   65   51   50   48   56   61   57  7.895146 0.443779 SUCCESS   9
000010101   68   57   70   72   62   53   66   56  8.628119 0.374631 SUCCESS  10
000010111   70   72   70   57   55   63   58   53  8.692824 0.368868 SUCCESS  11
000011001   56   55   52   63   69   67   59   54  4.931656 0.764855 SUCCESS  12
000011011   58   62   51   54   62   61   51   61  3.088817 0.928661 SUCCESS  13
000011101   55   55   71   51   66   60   55   67  6.565821 0.584116 SUCCESS  14
000011111   56   61   53   53   66   55   52   70  5.591408 0.692893 SUCCESS  15
000100011   57   61   71   67   62   56   52   74  9.128445 0.331577 SUCCESS  16
000100101   61   70   59   46   66   75   75   60 15.329354 0.053049 SUCCESS  17
000100111   59   68   53   58   57   55   59   63  2.713229 0.951046 SUCCESS  18
000101001   52   64   59   53   72   55   46   65  8.756567 0.363246 SUCCESS  19
000101011   66   47   70   71   48   47   62   63 13.171853 0.106072 SUCCESS  20
000101101   57   52   68   80   49   65   71   62 15.415627 0.051550 SUCCESS  21
000101111   59   68   59   62   57   59   53   52  3.132434 0.925774 SUCCESS  22
000110011   65   57   73   59   55   63   52   59  5.654258 0.685896 SUCCESS  23
000110101   56   60   58   65   50   68   38   56 11.450455 0.177458 SUCCESS  24
000110111   58   62   51   52   57   67   54   51  4.792837 0.779471 SUCCESS  25
000111001   68   40   58   60   66   65   45   51 13.750003 0.088519 SUCCESS  26
000111011   60   55   61   49   62   65   47   62  5.539823 0.698624 SUCCESS  27
000111101   60   60   54   59   52   66   79   48 11.405464 0.179766 SUCCESS  28
000111111   45   65   59   59   58   50   55   65  6.332280 0.610065 SUCCESS  29
001000011   57   48   56   59   78   68   58   71 12.839883 0.117479 SUCCESS  30
001000101   81   51   64   61   58   58   67   65 12.169347 0.143806 SUCCESS  31
001000111   50   64   61   59   54   56   57   68  4.011645 0.856071 SUCCESS  32
001001011   52   58   51   50   62   67   65   63  5.605008 0.691380 SUCCESS  33
001001101   49   60   65   58   65   61   69   51  6.059862 0.640526 SUCCESS  34
001001111   58   61   58   55   53   64   48   57  3.540374 0.896034 SUCCESS  35
001010011   57   58   58   50   67   57   66   59  3.592440 0.891898 SUCCESS  36
001010101   68   69   51   55   69   66   58   62  7.567434 0.476822 SUCCESS  37
001010111   56   55   61   73   62   40   55   55 10.928561 0.205780 SUCCESS  38
001011011   63   47   62   69   51   53   73   65 10.648175 0.222442 SUCCESS  39
001011101   54   55   58   62   60   58   62   50  2.431401 0.964853 SUCCESS  40
001011111   57   54   50   58   65   53   66   51  5.087785 0.748154 SUCCESS  41
001100101   36   56   62   64   48   62   62   57 12.407970 0.133908 SUCCESS  42
001100111   58   57   73   58   63   59   56   54  4.477283 0.811702 SUCCESS  43
001101011   59   57   56   63   62   49   57   49  4.124637 0.845707 SUCCESS  44
001101101   68   60   48   56   67   58   63   52  6.019061 0.645097 SUCCESS  45
001101111   44   66   54   54   57   53   54   57  6.691452 0.570259 SUCCESS  46
001110101   54   60   70   61   57   44   59   73 10.174569 0.252987 SUCCESS  47
001110111   61   60   63   44   55   64   53   58  5.607343 0.691120 SUCCESS  48
001111011   51   58   55   62   54   59   72   50  6.348697 0.608235 SUCCESS  49
001111101   79   68   53   51   54   47   67   58 14.370396 0.072608 SUCCESS  50
001111111   52   59   50   63   68   53   44   75 13.033515 0.110702 SUCCESS  51
010000011   71   48   51   75   67   67   57   51 13.840535 0.086018 SUCCESS  52
010000111   52   48   55   57   72   62   54   70  9.029946 0.339776 SUCCESS  53
010001011   64   50   65   72   49   59   79   56 14.573920 0.067979 SUCCESS  54
010001111   50   62   64   60   55   46   57   65  5.913075 0.656968 SUCCESS  55
010010011   49   71   52   52   44   68   63   64 12.059583 0.148565 SUCCESS  56
010010111   47   58   43   66   64   59   72   55 11.556441 0.172118 SUCCESS  57
010011011   56   58   62   45   81   55   61   45 16.033616 0.041901 SUCCESS  58
010011111   71   59   54   63   54   58   53   55  4.595908 0.799763 SUCCESS  59
010100011   42   59   61   51   51   58   57   63  7.573479 0.476202 SUCCESS  60
010100111   74   60   61   63   60   76   60   70 11.929281 0.154387 SUCCESS  61
010101011   61   61   56   54   66   58   67   59  2.816399 0.945346 SUCCESS  62
010101111   56   56   71   63   63   42   58   60  8.513204 0.385008 SUCCESS  63
010110011   58   65   57   67   53   57   57   52  3.446133 0.903330 SUCCESS  64
010110111   71   50   67   48   52   56   60   59  8.191056 0.415033 SUCCESS  65
010111011   56   59   50   63   58   55   60   54  2.509705 0.961277 SUCCESS  66
