		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   56   62   51   56   47   52   57   71  7.465638 0.487325 SUCCESS  76
100101000   62   76   53   66   55   45   52   60 11.326678 0.183867 SUCCESS  77
100110000   72   58   53   49   61   63   57   53  6.400282 0.602488 SUCCESS  78
100111000   59   54   62   73   56   67   58   59  5.459664 0.707505 SUCCESS  79
101000000   55   64   64   54   47   58   65   57  4.804102 0.778294 SUCCESS  80
101000100   64   71   53   67   59   46   42   51 13.785172 0.087540 SUCCESS  81
101001000   61   43   54   58   47   51   54   57  8.882198 0.352331 SUCCESS  82
101001100   63   51   51   61   71   58   46   69  9.873989 0.273982 SUCCESS  83
101010000   50   56   50   58   54   61   56   45  6.858845 0.551936 SUCCESS  84
101010100   55   61   52   72   57   50   59   49  7.327780 0.501716 SUCCESS  85
101011000   65   61   67   68   62   55   57   50  5.281005 0.727163 SUCCESS  86
101011100   79   55   50   61   60   65   66   61 10.567535 0.227427 SUCCESS  87
101100000   66   52   65   65   60   65   51   55  5.099531 0.746887 SUCCESS  88
101100100   61   62   57   61   56   50   64   48  4.436001 0.815801 SUCCESS  89
101101000   65   66   58   52   56   56   61   63  3.081330 0.929150 SUCCESS  90
101101100   43   60   66   51   58   67   67   63  9.081531 0.335465 SUCCESS  91
101110000   57   55   68   56   75   58   55   51  7.885805 0.444704 SUCCESS  92
101110100   46   57   61   61   54   62   62   67  5.055913 0.751584 SUCCESS  93
101111000   61   62   75   48   54   47   64   55 10.514988 0.230723 SUCCESS  94
101111100   65   44   54   60   68   68   45   59 11.285878 0.186021 SUCCESS  95
110000000   53   65   60   54   60   56   58   50  3.237458 0.918584 SUCCESS  96
110000010   65   48   60   57   73   87   46   65 23.888403 0.002393 FAILURE  97
110000100   64   52   52   53   74   66   63   58  7.986158 0.434823 SUCCESS  98
110001000   70   66   60   63   52   56   64   61  4.959338 0.761913 SUCCESS  99
110001010   69   72   46   53   62   58   54   57  9.019162 0.340682 SUCCESS 100
110010000   59   67   58   58   58   58   71   63  4.150464 0.843299 SUCCESS 101
110010010   55   52   63   52   60   62   61   56  2.620843 0.955857 SUCCESS 102
110010100   60   65   63   72   64   52   54   62  5.944054 0.653499 SUCCESS 103
110011000   65   78   59   48   63   51   67   54 12.174018 0.143607 SUCCESS 104
110011010   50   49   63   57   71   55   55   51  7.617096 0.471738 SUCCESS 105
