		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   69   58   68   54   59   57   75   69 10.227115 0.249446 SUCCESS  76
100101000   64   57   53   61   60   56   53   61  2.050180 0.979435 SUCCESS  77
100110000   60   62   59   65   51   56   64   52  3.378613 0.908404 SUCCESS  78
100111000   50   60   67   71   67   48   55   62  8.851769 0.354955 SUCCESS  79
101000000   44   39   69   53   71   64   65   67 18.117002 0.020366 SUCCESS  80
101000100   72   61   62   56   68   46   45   57 11.242741 0.188321 SUCCESS  81
101001000   59   51   55   55   49   68   61   52  5.658448 0.685429 SUCCESS  82
101001100   72   66   66   48   51   71   60   59 10.645840 0.222585 SUCCESS  83
101010000   42   51   65   49   52   60   47   67 12.875463 0.116207 SUCCESS  84
101010100   61   63   54   57   56   57   48   66  4.016796 0.855605 SUCCESS  85
101011000   60   60   60   60   63   60   56   72  3.633721 0.888567 SUCCESS  86
101011100   62   65   52   66   48   56   50   58  6.145654 0.630920 SUCCESS  87
101100000   65   63   71   41   61   58   61   45 12.706215 0.122366 SUCCESS  88
101100100   53   62   59   69   46   59   59   63  5.794451 0.670244 SUCCESS  89
101101000   51   57   67   62   58   66   53   62  4.182335 0.840309 SUCCESS  90
101101100   60   59   56   71   58   49   66   48  7.444551 0.489514 SUCCESS  91
101110000   62   66   52   64   49   55   72   49  9.075899 0.335934 SUCCESS  92
101110100   46   57   51   56   73   78   53   67 15.945008 0.043174 SUCCESS  93
101111000   55   57   68   60   58   59   55   51  3.161970 0.923785 SUCCESS  94
101111100   55   64   48   53   54   64   61   66  5.250508 0.730497 SUCCESS  95
110000000   67   55   60   68   48   52   64   48  8.342513 0.400747 SUCCESS  96
110000010   77   70   62   56   53   67   70   57 12.375206 0.135232 SUCCESS  97
110000100   54   59   45   66   62   47   63   49  9.299548 0.317660 SUCCESS  98
110001000   56   49   55   65   62   74   63   67  8.486965 0.387402 SUCCESS  99
110001010   42   57   62   55   69   54   49   58  9.394269 0.310135 SUCCESS 100
110010000   68   56   66   56   61   69   70   75 11.398939 0.180103 SUCCESS 101
110010010   51   66   68   62   48   57   41   54 11.739770 0.163198 SUCCESS 102
110010100   57   53   54   54   61   53   59   55  2.395751 0.966415 SUCCESS 103
110011000   60   62   55   80   52   58   65   55 10.112681 0.257206 SUCCESS 104
110011010   62   62   60   60   42   74   68   59 10.921555 0.206184 SUCCESS 105
110100000   45   48   64   49   55   60   60   53  8.468625 0.389081 SUCCESS 106
110100010   73   51   58   55   53   68   54   51  8.437235 0.391965 SUCCESS 107
110100100   44   55   48   53   69   75   70   54 15.803853 0.045275 SUCCESS 108
110101000   56   61   62   68   49   44   59   58  7.446886 0.489271 SUCCESS 109
110101010   59   58   50   52   47   61   54   78 11.610361 0.169453 SUCCESS 110
110101100   66   49   64   59   56   61   68   70  6.988323 0.537893 SUCCESS 111
110110000   64   49   59   53   62   50   57   49  6.050452 0.641580 SUCCESS 112
110110010   70   65   52   74   64   57   64   58  8.768793 0.362174 SUCCESS 113
110110100   60   57   64   43   66   61   54   60  6.375897 0.605204 SUCCESS 114
110111000   58   50   53   62   61   54   71   51  6.324312 0.610954 SUCCESS 115
110111010   56   53   52   53   56   63   65   64  3.735449 0.880169 SUCCESS 116
110111100   57   57   61   49   58   65   54   51  4.054300 0.852191 SUCCESS 117
111000000   70   76   68   65   51   48   69   43 18.907605 0.015362 SUCCESS 118
111000010   47   67   47   54   52   54   66   47 11.071089 0.197704 SUCCESS 119
111000100   54   51   61   77   62   66   52   56  9.425248 0.307701 SUCCESS 120
111000110   64   42   53   59   67   59   47   63  9.976197 0.266701 SUCCESS 121
111001000   62   57   61   55   63   60   76   59  6.109112 0.635011 SUCCESS 122
111001010   53   68   56   59   72   53   53   60  6.489851 0.592534 SUCCESS 123
111001100   60   67   41   61   48   58   64   60  9.429919 0.307336 SUCCESS 124
111010000   48   72   64   54   61   57   72   53  9.790532 0.280037 SUCCESS 125
111010010   47   59   51   60   69   69   53   65  8.470068 0.388949 SUCCESS 126
111010100   51   61   67   54   47   54   62   66  6.689597 0.570463 SUCCESS 127
111010110   64   58   51   59   52   62   63   59  2.861870 0.942724 SUCCESS 128
111011000   61   52   67   48   70   54   55   50  8.361265 0.398999 SUCCESS 129
111011010   57   59   64   56   58   55   57   62  1.173786 0.996894 SUCCESS 130
111011100   67   43   56   54   58   58   60   56  6.305080 0.613100 SUCCESS 131
111100000   73   71   70   67   58   60   76   53 15.367820 0.052376 SUCCESS 132
111100010   46   53   50   61   65   59   49   50  8.655251 0.372208 SUCCESS 133
111100100   60   58   70   57   58   55   48   57  4.674212 0.791761 SUCCESS 134
111100110   63   73   53   46   59   69   69   50 12.347044 0.136378 SUCCESS 135
111101000   51   67   60   48   61   55   77   55 10.745232 0.216557 SUCCESS 136
111101010   51   65   67   58   49   55   58   72  7.956141 0.437766 SUCCESS 137
111101100   64   56   71   65   64   64   61   53  5.527665 0.699973 SUCCESS 138
111101110   66   45   65   57   66   54   58   55  6.576124 0.582977 SUCCESS 139
111110000   77   66   58   49   61   54   70   52 11.941439 0.153836 SUCCESS 140
111110010   74   75   60   57   61   52   54   60 10.083145 0.259239 SUCCESS 141
111110100   55   60   57   51   60   48   67   55  4.922727 0.765802 SUCCESS 142
111110110   62   63   55   66   63   54   71   56  5.121580 0.744506 SUCCESS 143
111111000   65   56   57   63   66   50   57   49  5.201739 0.735812 SUCCESS 144
111111010   56   66   59   40   64   56   48   63 10.243944 0.248320 SUCCESS 145
111111100   67   55   53   55   70   41   46   56 13.084138 0.108987 SUCCESS 146
111111110   62   58   60   58   57   58   50   60  1.684896 0.989196 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   44   60   47   66   48   50   53   73 14.793791 0.063281 SUCCESS   0
000000011   53   51   53   53   62   54   56   68  5.060584 0.751082 SUCCESS   1
000000101   54   48   47   75   69   53   56   47 14.531677 0.068917 SUCCESS   2
000000111   50   61   55   52   74   63   56   51  8.096334 0.424117 SUCCESS   3
000001001   47   59   49   68   47   40   61   79 21.554579 0.005811 FAILURE   4
000001011   48   63   59   64   70   52   60   55  6.135351 0.632074 SUCCESS   5
000001101   55   50   47   47   57   54   64   61  7.543462 0.479285 SUCCESS   6
000001111   62   57   59   46   62   72   53   58  6.965793 0.540328 SUCCESS   7
000010001   65   53   69   55   56   69   58   66  6.236185 0.620794 SUCCESS   8
000010011   48   57   54   64   55   50   54   59  5.016967 0.755761 SUCCESS   9
000010101   66   55   57   60   60   49   57   57  3.078033 0.929365 SUCCESS  10
000010111   50   57   54   66   66   46   61   63  6.924992 0.544747 SUCCESS  11
000011001   66   49   57   66   70   50   53   65  8.402547 0.395168 SUCCESS  12
000011011   65   55   57   46   51   62   56   60  5.285195 0.726704 SUCCESS  13
000011101   59   59   54   78   70   56   56   65 10.040008 0.262229 SUCCESS  14
000011111   70   51   76   46   52   71   53   56 15.517354 0.049833 SUCCESS  15
000100011   64   47   74   49   56   61   60   66  9.833669 0.276895 SUCCESS  16
000100101   49   66   57   51   56   48   62   56  6.239894 0.620380 SUCCESS  17
000100111   52   73   66   46   52   48   52   59 11.834491 0.158743 SUCCESS  18
000101001   41   74   61   45   51   50   46   58 18.402059 0.018406 SUCCESS  19
000101011   69   50   60   60   77   66   61   63 10.364973 0.240338 SUCCESS  20
000101101   76   64   67   69   56   66   66   50 12.001954 0.151117 SUCCESS  21
000101111   58   49   64   62   68   53   66   50  6.708830 0.568349 SUCCESS  22
000110011   64   66   55   57   66   50   59   56  4.109182 0.847141 SUCCESS  23
000110101   61   54   67   55   63   52   60   60  3.100082 0.927921 SUCCESS  24
000110111   68   54   59   48   65   52   64   60  5.935124 0.654499 SUCCESS  25
000111001   56   50   56   63   66   58   67   64  4.526052 0.806821 SUCCESS  26
000111011   53   66   59   73   68   52   64   64  8.295187 0.405179 SUCCESS  27
000111101   74   54   66   71   54   66   54   55  9.966855 0.267360 SUCCESS  28
000111111   70   56   76   56   61   59   53   61  8.441012 0.391617 SUCCESS  29
001000011   56   57   57   70   53   52   51   57  4.993064 0.758317 SUCCESS  30
001000101   65   58   70   52   52   66   55   67  6.863585 0.551420 SUCCESS  31
001000111   54   53   55   56   65   65   58   66  3.662776 0.886196 SUCCESS  32
001001011   51   70   68   61   57   52   64   50  7.555688 0.478028 SUCCESS  33
001001101   61   57   60   59   56   54   61   48  2.850605 0.943380 SUCCESS  34
001001111   56   70   59   55   49   34   50   57 16.530164 0.035391 SUCCESS  35
001010011   48   71   55   50   50   49   56   66 10.389769 0.238728 SUCCESS  36
001010101   58   66   47   62   59   54   63   57  4.325344 0.826642 SUCCESS  37
001010111   69   47   51   53   74   52   56   59 10.955761 0.204218 SUCCESS  38
001011011   77   53   64   74   51   60   55   54 12.704361 0.122435 SUCCESS  39
001011101   57   53   61   54   72   51   60   58  5.310060 0.723980 SUCCESS  40
001011111   59   63   68   66   69   61   58   56  4.767560 0.782106 SUCCESS  41
001100101   57   57   51   75   63   55   55   70  8.819417 0.357758 SUCCESS  42
001100111   70   64   58   55   66   52   57   68  6.211801 0.623520 SUCCESS  43
001101011   59   68   55   58   64   60   66   58  3.173715 0.922987 SUCCESS  44
001101101   51   49   59   42   46   70   50   44 18.036293 0.020956 SUCCESS  45
001101111   68   60   57   57   73   69   66   54  8.311604 0.403639 SUCCESS  46
001110101   55   71   48   57   48   67   43   57 12.664933 0.123910 SUCCESS  47
001110111   53   64   60   59   62   54   50   75  7.653226 0.468056 SUCCESS  48
001111011   60   69   58   64   57   52   49   52  5.715665 0.679047 SUCCESS  49
001111101   59   48   49   56   49   53   64   58  6.653467 0.574440 SUCCESS  50
001111111   62   48   80   52   51   51   44   72 20.004833 0.010318 SUCCESS  51
010000011   63   50   63   61   56   57   57   74  6.379194 0.604836 SUCCESS  52
010000111   71   59   62   85   62   48   64   57 17.623270 0.024235 SUCCESS  53
010001011   77   62   79   54   56   68   63   64 15.984435 0.042603 SUCCESS  54
