		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   51   60   46   58   62   55   58   59  4.438337 0.815570 SUCCESS  76
100101000   71   60   58   54   59   64   59   60  3.557752 0.894662 SUCCESS  77
100110000   70   53   58   61   54   54   64   59  4.179519 0.840574 SUCCESS  78
100111000   60   59   52   58   52   53   46   54  5.549645 0.697534 SUCCESS  79
101000000   68   47   67   54   60   45   58   61  8.997113 0.342540 SUCCESS  80
101000100   70   69   55   61   61   70   60   56  6.820929 0.556071 SUCCESS  81
101001000   59   50   55   52   61   63   58   55  3.093968 0.928323 SUCCESS  82
101001100   79   53   52   58   62   61   52   45 13.019915 0.111166 SUCCESS  83
101010000   56   54   60   57   61   58   50   66  2.996912 0.934551 SUCCESS  84
101010100   58   63   59   52   67   66   50   66  5.499984 0.703042 SUCCESS  85
101011000   51   52   62   74   58   68   64   50  9.460416 0.304955 SUCCESS  86
101011100   45   61   45   45   64   62   54   57 11.257715 0.187520 SUCCESS  87
101100000   54   57   73   61   59   73   74   63 12.001954 0.151117 SUCCESS  88
101100100   60   74   56   69   59   48   63   52  9.227837 0.323442 SUCCESS  89
101101000   62   50   64   61   56   57   61   60  2.407497 0.965905 SUCCESS  90
101101100   63   68   54   46   54   64   55   74 10.280074 0.245916 SUCCESS  91
101110000   61   71   63   63   57   59   57   60  3.457879 0.902434 SUCCESS  92
101110100   60   60   58   51   59   39   50   46 12.279935 0.139144 SUCCESS  93
101111000   51   59   61   53   58   64   55   67  3.670744 0.885542 SUCCESS  94
101111100   64   57   47   62   58   60   60   59  3.224339 0.919500 SUCCESS  95
110000000   57   69   61   64   69   63   64   55  5.308687 0.724131 SUCCESS  96
110000010   61   48   61   54   63   60   65   60  3.662776 0.886196 SUCCESS  97
110000100   58   52   61   65   50   53   59   69  5.369613 0.717439 SUCCESS  98
110001000   73   47   54   67   64   53   68   70 12.336741 0.136800 SUCCESS  99
110001010   40   56   55   65   61   69   60   63  9.533088 0.299337 SUCCESS 100
110010000   58   64   65   57   59   47   69   54  5.902772 0.658122 SUCCESS 101
110010010   59   74   56   62   63   69   62   61  6.777793 0.560786 SUCCESS 102
110010100   70   52   57   49   64   55   59   53  6.088917 0.637272 SUCCESS 103
110011000   60   58   73   69   63   47   66   54  9.482465 0.303243 SUCCESS 104
110011010   56   63   66   51   66   64   57   64  4.345058 0.824727 SUCCESS 105
110100000   54   53   74   66   60   49   61   48  9.822404 0.277713 SUCCESS 106
110100010   65   68   60   71   61   67   54   56  6.609919 0.579243 SUCCESS 107
110100100   56   52   60   64   64   57   56   43  6.516090 0.589623 SUCCESS 108
110101000   53   51   54   47   70   63   57   59  7.092385 0.526699 SUCCESS 109
110101010   58   63   57   56   57   64   49   61  2.823886 0.944919 SUCCESS 110
110101100   51   71   58   66   59   56   63   59  5.056394 0.751532 SUCCESS 111
110110000   63   62   50   49   49   66   69   65  8.645910 0.373041 SUCCESS 112
110110010   47   80   44   76   56   51   73   58 24.166453 0.002149 FAILURE 113
110110100   53   53   58   64   69   56   58   60  3.673561 0.885310 SUCCESS 114
110111000   65   76   58   55   51   61   59   60  7.320774 0.502452 SUCCESS 115
110111010   64   54   60   67   54   44   53   48  8.993816 0.342818 SUCCESS 116
110111100   62   61   60   44   52   59   58   58  4.982280 0.759468 SUCCESS 117
111000000   47   62   70   64   55   59   55   66  6.728063 0.566237 SUCCESS 118
111000010   61   63   59   53   66   53   61   69  4.401794 0.819176 SUCCESS 119
111000100   55   52   40   57   58   75   58   61 12.064735 0.148339 SUCCESS 120
111000110   52   69   55   63   60   53   56   68  5.448399 0.708750 SUCCESS 121
111001000   65   57   73   72   41   57   58   46 15.863406 0.044377 SUCCESS 122
111001010   71   55   58   54   72   60   52   56  7.325926 0.501910 SUCCESS 123
111001100   71   51   69   67   62   51   72   64 11.479579 0.175977 SUCCESS 124
111010000   42   56   60   63   68   50   58   51  9.372701 0.311837 SUCCESS 125
111010010   54   61   48   65   59   58   53   45  7.175842 0.517785 SUCCESS 126
111010100   62   56   57   49   61   58   51   65  3.908475 0.865285 SUCCESS 127
111010110   56   62   54   56   52   57   51   60  2.831373 0.944490 SUCCESS 128
111011000   63   63   42   62   43   64   69   71 15.073765 0.057727 SUCCESS 129
111011010   57   43   62   63   66   58   56   64  6.473435 0.594356 SUCCESS 130
111011100   75   61   63   57   54   56   54   45  9.365214 0.312430 SUCCESS 131
111100000   46   54   67   52   54   62   56   55  6.264279 0.617655 SUCCESS 132
111100010   43   52   49   48   45   74   51   65 18.109927 0.020417 SUCCESS 133
111100100   66   69   73   59   43   71   52   59 14.103130 0.079117 SUCCESS 134
111100110   72   58   73   60   69   48   58   68 12.017889 0.150407 SUCCESS 135
111101000   39   62   64   62   60   52   59   52  9.386301 0.310763 SUCCESS 136
111101010   71   49   53   52   55   56   48   73 11.702266 0.164991 SUCCESS 137
111101100   55   65   46   63   45   54   69   75 14.318811 0.073825 SUCCESS 138
111101110   66   62   54   61   55   52   48   53  5.295979 0.725524 SUCCESS 139
111110000   50   63   55   47   50   57   54   57  6.263798 0.617709 SUCCESS 140
111110010   77   72   65   61   57   74   57   51 14.885765 0.061405 SUCCESS 141
111110100   40   64   58   66   59   60   64   45 11.466871 0.176622 SUCCESS 142
111110110   61   62   58   63   54   53   77   77 13.224400 0.104358 SUCCESS 143
111111000   49   54   55   49   55   58   52   60  5.149192 0.741518 SUCCESS 144
111111010   40   53   53   66   55   65   62   49 11.114706 0.195284 SUCCESS 145
111111100   63   61   54   58   68   66   61   53  3.885052 0.867343 SUCCESS 146
111111110   46   66   64   60   68   61   54   56  6.408730 0.601548 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
